"ResDensity","N_TraitValue"
1,0.00122647777667294
1.068,0.00129364644247724
1.136,0.00135917079548341
1.204,0.00142311048560796
1.272,0.00148552231205163
1.34,0.00154646039158616
1.408,0.00160597631505878
1.476,0.00166411929306563
1.544,0.00172093629165886
1.612,0.00177647215887361
1.68,0.00183076974279167
1.748,0.00188387000179469
1.816,0.00193581210760332
1.884,0.00198663354164707
1.952,0.00203637018526298
2.02,0.00208505640417952
2.088,0.00213272512770344
2.156,0.0021794079229933
2.224,0.0022251350647715
2.292,0.0022699356007985
2.36,0.00231383741340659
2.428,0.00235686727736734
2.496,0.00239905091434493
2.564,0.00244041304416809
2.632,0.00248097743313548
2.7,0.00252076693955278
2.768,0.00255980355668487
2.836,0.00259810845329262
2.904,0.00263570201191141
2.972,0.00267260386501659
3.04,0.00270883292921099
3.108,0.00274440743755933
3.176,0.00277934497018576
3.244,0.00281366248324245
3.312,0.00284737633634943
3.38,0.00288050231859898
3.448,0.00291305567321155
3.516,0.00294505112092393
3.584,0.00297650288218517
3.652,0.00300742469823052
3.72,0.00303782985109902
3.788,0.00306773118265604
3.856,0.00309714111267786
3.924,0.00312607165605203
3.992,0.00315453443914333
4.06,0.00318254071537234
4.128,0.0032101013800503
4.196,0.00323722698451154
4.264,0.00326392774958177
4.332,0.00329021357841864
4.4,0.00331609406875807
4.468,0.00334157852459855
4.536,0.00336667596735306
4.604,0.00339139514649671
4.672,0.00341574454973663
4.74,0.00343973241272877
4.808,0.00346336672836512
4.876,0.00348665525565326
4.944,0.00350960552820902
5.012,0.00353222486238174
5.08,0.00355452036503052
5.148,0.00357649894096896
5.216,0.00359816730009451
5.284,0.0036195319642182
5.352,0.00364059927360909
5.42,0.00366137539326745
5.488,0.00368186631893948
5.556,0.00370207788288617
5.624,0.00372201575941768
5.692,0.00374168547020448
5.76,0.00376109238937562
5.828,0.00378024174841397
5.896,0.00379913864085786
5.964,0.00381778802681801
6.032,0.00383619473731806
6.1,0.00385436347846684
6.168,0.00387229883546979
6.236,0.0038900052764868
6.304,0.00390748715634327
6.372,0.00392474872010088
6.44,0.00394179410649419
6.508,0.00395862735123891
6.576,0.00397525239021743
6.644,0.0039916730625469
6.712,0.00400789311353481
6.78,0.00402391619752689
6.848,0.00403974588065199
6.916,0.00405538564346799
6.984,0.00407083888351321
7.052,0.00408610891776698
7.12,0.00410119898502324
7.188,0.00411611224818068
