"ResDensity","N_TraitValue"
38.6442,3.64862829078355e-05
39.2049632,3.69387844912621e-05
39.7657264,3.73894086585362e-05
40.3264896,3.78381670694889e-05
40.8872528,3.82850712875982e-05
41.448016,3.87301327809825e-05
42.0087792,3.91733629233815e-05
42.5695424,3.96147729951254e-05
43.1303056,4.00543741840912e-05
43.6910688,4.04921775866488e-05
44.251832,4.09281942085939e-05
44.8125952,4.13624349660706e-05
45.3733584,4.17949106864826e-05
45.9341216,4.22256321093926e-05
46.4948848,4.26546098874118e-05
47.055648,4.30818545870777e-05
47.6164112,4.35073766897222e-05
48.1771744,4.39311865923279e-05
48.7379376,4.4353294608376e-05
49.2987008,4.47737109686819e-05
49.859464,4.51924458222224e-05
50.4202272,4.56095092369521e-05
50.9809904,4.60249112006104e-05
51.5417536,4.64386616215188e-05
52.1025168,4.68507703293687e-05
52.66328,4.72612470759998e-05
53.2240432,4.76701015361694e-05
53.7848064,4.80773433083124e-05
54.3455696,4.84829819152925e-05
54.9063328,4.88870268051445e-05
55.467096,4.92894873518078e-05
56.0278592,4.96903728558513e-05
56.5886224,5.00896925451902e-05
57.1493856,5.04874555757932e-05
57.7101488,5.08836710323835e-05
58.270912,5.12783479291292e-05
58.8316752,5.16714952103281e-05
59.3924384,5.20631217510823e-05
59.9532016,5.24532363579669e-05
60.5139648,5.28418477696894e-05
61.074728,5.32289646577429e-05
61.6354912,5.36145956270506e-05
62.1962544,5.39987492166036e-05
62.7570176,5.43814339000911e-05
63.3177808,5.47626580865234e-05
63.878544,5.51424301208481e-05
64.4393072,5.55207582845586e-05
65.0000704,5.58976507962965e-05
65.5608336,5.62731158124463e-05
66.1215968,5.66471614277242e-05
66.68236,5.70197956757596e-05
67.2431232,5.73910265296702e-05
67.8038864,5.77608619026309e-05
68.3646496,5.81293096484358e-05
68.9254128,5.84963775620543e-05
69.486176,5.8862073380181e-05
70.0469392,5.92264047817787e-05
70.6077024,5.95893793886165e-05
71.1684656,5.9951004765801e-05
71.7292288,6.0311288422302e-05
72.289992,6.06702378114718e-05
72.8507552,6.102786033156e-05
73.4115184,6.13841633262211e-05
73.9722816,6.17391540850174e-05
74.5330448,6.20928398439161e-05
75.093808,6.24452277857811e-05
75.6545712,6.2796325040859e-05
76.2153344,6.31461386872603e-05
76.7760976,6.34946757514347e-05
77.3368608,6.3841943208642e-05
77.897624,6.4187947983417e-05
78.4583872,6.45326969500301e-05
79.0191504,6.48761969329423e-05
79.5799136,6.52184547072556e-05
80.1406768,6.55594769991586e-05
80.70144,6.58992704863669e-05
81.2622032,6.6237841798559e-05
81.8229664,6.65751975178076e-05
82.3837296,6.69113441790061e-05
82.9444928,6.72462882702905e-05
83.505256,6.75800362334569e-05
84.0660192,6.79125944643743e-05
84.6267824,6.82439693133935e-05
85.1875456,6.85741670857512e-05
85.7483088,6.89031940419696e-05
86.309072,6.92310563982526e-05
86.8698352,6.95577603268766e-05
87.4305984,6.98833119565787e-05
87.9913616,7.02077173729392e-05
88.5521248,7.0530982618761e-05
89.112888,7.08531136944451e-05
89.6736512,7.11741165583614e-05
90.2344144,7.14939971272165e-05
90.7951776,7.18127612764171e-05
91.3559408,7.21304148404293e-05
91.916704,7.24469636131353e-05
92.4774672,7.27624133481852e-05
93.0382304,7.30767697593456e-05
93.5989936,7.33900385208449e-05
94.1597568,7.37022252677142e-05
94.72052,7.40133355961259e-05
95.2812832,7.43233750637271e-05
95.8420464,7.46323491899717e-05
96.4028096,7.4940263456447e-05
96.9635728,7.52471233071982e-05
97.524336,7.55529341490494e-05
98.0850992,7.58577013519209e-05
98.6458624,7.61614302491438e-05
99.2066256,7.64641261377708e-05
99.7673888,7.67657942788843e-05
100.328152,7.70664398979013e-05
100.8889152,7.73660681848749e-05
101.4496784,7.76646842947931e-05
102.0104416,7.79622933478746e-05
102.5712048,7.82589004298608e-05
103.131968,7.85545105923063e-05
103.6927312,7.88491288528654e-05
104.2534944,7.91427601955756e-05
104.8142576,7.94354095711393e-05
105.3750208,7.97270818972015e-05
105.935784,8.00177820586257e-05
106.4965472,8.03075149077661e-05
107.0573104,8.05962852647382e-05
107.6180736,8.08840979176854e-05
108.1788368,8.11709576230444e-05
108.7396,8.14568691058065e-05
109.3003632,8.17418370597776e-05
109.8611264,8.20258661478347e-05
110.4218896,8.23089610021804e-05
110.9826528,8.25911262245948e-05
111.543416,8.28723663866844e-05
112.1041792,8.31526860301298e-05
112.6649424,8.34320896669292e-05
113.2257056,8.37105817796413e-05
113.7864688,8.39881668216247e-05
114.347232,8.42648492172752e-05
114.9079952,8.4540633362261e-05
115.4687584,8.48155236237553e-05
116.0295216,8.50895243406672e-05
116.5902848,8.53626398238696e-05
117.151048,8.56348743564255e-05
117.7118112,8.59062321938118e-05
118.2725744,8.61767175641411e-05
118.8333376,8.64463346683811e-05
