"ResDensity","N_TraitValue"
0.7096,75.2831125219918
0.8742194,91.4786465822841
1.0388388,107.236871200688
1.2034582,122.575262679308
1.3680776,137.510378349069
1.532697,152.057916189748
1.6973164,166.232769867913
1.8619358,180.049079598401
2.0265552,193.520279194478
2.1911746,206.659139635771
2.355794,219.477809450971
2.5204134,231.987852183745
2.6850328,244.200281184689
2.8496522,256.125591949388
3.0142716,267.773792202129
3.178891,279.154429906519
3.3435104,290.276619367797
3.5081298,301.149065576782
3.6727492,311.780086932154
3.8373686,322.177636465687
4.001988,332.349321684264
4.1666074,342.302423132717
4.3312268,352.043911772669
4.4958462,361.580465264565
4.6604656,370.918483232804
4.825085,380.064101587306
4.9897044,389.023205968871
5.1543238,397.80144438023
5.3189432,406.404239059756
5.4835626,414.836797650288
5.648182,423.104123711413
5.8128014,431.211026619786
5.9774208,439.16213089866
6.1420402,446.961885014648
6.3066596,454.614569676882
6.471279,462.124305671097
6.6358984,469.495061258762
6.8005178,476.730659169184
6.9651372,483.834783210459
7.1297566,490.810984523295
7.294376,497.662687500023
7.4589954,504.393195389503
7.6236148,511.005695607228
7.7882342,517.503264768532
7.9528536,523.888873461624
8.117473,530.165390775988
8.2820924,536.335588600669
8.4467118,542.402145705953
8.6113312,548.367651621088
8.7759506,554.234610319832
8.94057,560.005443724837
9.1051894,565.682495041198
9.2698088,571.268031928776
9.4344282,576.764249522348
9.5990476,582.173273308002
9.763667,587.497161863733
9.9282864,592.737909471624
10.0929058,597.897448608608
10.2575252,602.977652322329
10.4221446,607.980336498239
10.586764,612.9072620237
10.7513834,617.760136854515
10.9160028,622.540617988966
11.0806222,627.250313354166
11.2452416,631.890783609231
11.409861,636.463543869523
11.5744804,640.97006535596
11.7390998,645.411776973169
11.9037192,649.79006682004
12.0683386,654.106283636028
12.232958,658.361738186377
12.3975774,662.557704589249
12.5621968,666.695421587582
12.7268162,670.776093768347
12.8914356,674.800892731718
13.056055,678.770958212547
13.2206744,682.687399156395
13.3852938,686.551294752249
13.5499132,690.363695423953
13.7145326,694.125623782261
13.879152,697.838075539325
14.0437714,701.502020387341
14.2083908,705.118402842973
14.3730102,708.688143059104
14.5376296,712.212137605383
14.702249,715.691260218955
14.8668684,719.126362526689
15.0314878,722.518274740172
15.1961072,725.867806324646
15.3607266,729.175746643029
15.525346,732.442865576096
15.6899654,735.66991411983
15.8545848,738.857624960946
16.0192042,742.006713031476
16.1838236,745.117876043334
16.348443,748.191795003671
16.5130624,751.229134711837
16.6776818,754.230544238707
16.8423012,757.196657389097
17.0069206,760.128093147956
17.17154,763.025456111006
17.3361594,765.889336900453
17.5007788,768.720312566356
17.6653982,771.518946974262
17.8300176,774.285791179609
17.994637,777.02138378946
18.1592564,779.726251312034
18.3238758,782.40090849454
18.4884952,785.04585864974
18.6531146,787.6615939717
18.817734,790.248595841135
18.9823534,792.80733512074
19.1469728,795.338272440903
19.3115922,797.841858476146
19.4762116,800.318534212662
19.640831,802.768731207261
19.8054504,805.192871838064
19.9700698,807.59136954723
20.1346892,809.964629076036
20.2993086,812.313046692561
20.463928,814.637010412264
20.6285474,816.936900211705
20.7931668,819.213088235665
20.9577862,821.46593899788
21.1224056,823.695809575653
21.287025,825.903049798521
21.4516444,828.088002431221
21.6162638,830.251003351133
21.7808832,832.392381720408
21.9455026,834.51246015295
22.110122,836.611554876454
22.2747414,838.689975889643
22.4393608,840.748027114887
22.6039802,842.78600654636
22.7685996,844.804206393878
22.933219,846.802913222573
23.0978384,848.782408088534
23.2624578,850.742966670563
23.4270772,852.68485939816
23.5916966,854.608351575878
23.756316,856.513703504148
23.9209354,858.401170596717
24.0855548,860.271003494778
24.2501742,862.123448177931
24.4147936,863.95874607205
24.579413,865.777134154179
24.7440324,867.578845054535
24.9086518,869.364107155716
25.0732712,871.133144689215
25.2378906,872.886177829301
25.40251,874.623422784372
25.5671294,876.345091885847
25.7317488,878.05139367468
25.8963682,879.742532985569
26.0609876,881.418711028922
26.225607,883.080125470668
26.3902264,884.726970509963
26.5548458,886.359436954858
26.7194652,887.977712295997
26.8840846,889.581980778405
27.048704,891.172423471412
27.2133234,892.749218336779
27.3779428,894.312540295087
27.5425622,895.862561290415
27.7071816,897.399450353391
27.871801,898.923373662631
28.0364204,900.434494604646
28.2010398,901.932973832234
28.3656592,903.418969321413
28.5302786,904.892636426946
28.694898,906.354127936478
28.8595174,907.803594123345
29.0241368,909.241182798084
29.1887562,910.667039358677
29.3533756,912.081306839573
29.517995,913.484125959522
29.6826144,914.875635168247
29.8472338,916.255970691996
30.0118532,917.625266577996
30.1764726,918.983654737854
30.341092,920.331264989911
30.5057114,921.668225100607
30.6703308,922.994660824857
30.8349502,924.310695945483
30.9995696,925.616452311722
31.164189,926.912049876833
31.3288084,928.197606734833
31.4934278,929.473239156379
31.6580472,930.739061623821
31.8226666,931.995186865456
31.987286,933.241725888991
32.1519054,934.478788014244
32.3165248,935.706480905108
