"ResDensity","N_TraitValue"
3000,213.78171823419
3034,216.204577707511
3068,218.627437180832
3102,221.050296654153
3136,223.473156127474
3170,225.896015600794
3204,228.318875074115
3238,230.741734547436
3272,233.164594020757
3306,235.587453494078
3340,238.010312967399
3374,240.433172440719
3408,242.85603191404
3442,245.278891387361
3476,247.701750860682
3510,250.124610334003
3544,252.547469807323
3578,254.970329280644
3612,257.393188753965
3646,259.816048227286
3680,262.238907700607
3714,264.661767173928
3748,267.084626647248
3782,269.507486120569
3816,271.93034559389
3850,274.353205067211
3884,276.776064540532
3918,279.198924013852
3952,281.621783487173
3986,284.044642960494
4020,286.467502433815
4054,288.890361907136
4088,291.313221380457
4122,293.736080853777
4156,296.158940327098
4190,298.581799800419
4224,301.00465927374
4258,303.427518747061
4292,305.850378220382
4326,308.273237693702
4360,310.696097167023
4394,313.118956640344
4428,315.541816113665
4462,317.964675586986
4496,320.387535060307
4530,322.810394533627
4564,325.233254006948
4598,327.656113480269
4632,330.07897295359
4666,332.501832426911
4700,334.924691900231
4734,337.347551373552
4768,339.770410846873
4802,342.193270320194
4836,344.616129793515
4870,347.038989266836
4904,349.461848740156
4938,351.884708213477
4972,354.307567686798
5006,356.730427160119
5040,359.15328663344
5074,361.57614610676
5108,363.999005580081
5142,366.421865053402
5176,368.844724526723
5210,371.267584000044
5244,373.690443473365
5278,376.113302946685
5312,378.536162420006
5346,380.959021893327
5380,383.381881366648
5414,385.804740839969
5448,388.22760031329
5482,390.65045978661
5516,393.073319259931
5550,395.496178733252
5584,397.919038206573
5618,400.341897679894
5652,402.764757153214
5686,405.187616626535
5720,407.610476099856
5754,410.033335573177
5788,412.456195046498
5822,414.879054519819
5856,417.301913993139
5890,419.72477346646
5924,422.147632939781
5958,424.570492413102
5992,426.993351886423
6026,429.416211359744
6060,431.839070833064
6094,434.261930306385
6128,436.684789779706
6162,439.107649253027
6196,441.530508726348
6230,443.953368199668
6264,446.376227672989
6298,448.79908714631
6332,451.221946619631
6366,453.644806092952
6400,456.067665566273
6434,458.490525039593
6468,460.913384512914
6502,463.336243986235
6536,465.759103459556
6570,468.181962932877
6604,470.604822406198
6638,473.027681879518
6672,475.450541352839
6706,477.87340082616
6740,480.296260299481
6774,482.719119772802
6808,485.141979246122
6842,487.564838719443
6876,489.987698192764
6910,492.410557666085
6944,494.833417139406
6978,497.256276612727
7012,499.679136086047
7046,502.101995559368
7080,504.524855032689
7114,506.94771450601
7148,509.370573979331
7182,511.793433452652
7216,514.216292925972
7250,516.639152399293
7284,519.062011872614
7318,521.484871345935
7352,523.907730819256
7386,526.330590292576
7420,528.753449765897
7454,531.176309239218
7488,533.599168712539
7522,536.02202818586
7556,538.444887659181
7590,540.867747132501
7624,543.290606605822
7658,545.713466079143
7692,548.136325552464
7726,550.559185025785
7760,552.982044499106
7794,555.404903972426
7828,557.827763445747
7862,560.250622919068
7896,562.673482392389
7930,565.09634186571
7964,567.51920133903
7998,569.942060812351
8032,572.364920285672
8066,574.787779758993
8100,577.210639232314
8134,579.633498705635
8168,582.056358178955
8202,584.479217652276
8236,586.902077125597
8270,589.324936598918
8304,591.747796072239
8338,594.170655545559
8372,596.59351501888
8406,599.016374492201
8440,601.439233965522
8474,603.862093438843
8508,606.284952912164
8542,608.707812385484
8576,611.130671858805
8610,613.553531332126
8644,615.976390805447
8678,618.399250278768
8712,620.822109752089
8746,623.244969225409
8780,625.66782869873
8814,628.090688172051
8848,630.513547645372
8882,632.936407118693
8916,635.359266592013
8950,637.782126065334
8984,640.204985538655
9018,642.627845011976
9052,645.050704485297
9086,647.473563958618
9120,649.896423431938
9154,652.319282905259
9188,654.74214237858
9222,657.165001851901
9256,659.587861325222
9290,662.010720798543
9324,664.433580271863
9358,666.856439745184
9392,669.279299218505
9426,671.702158691826
