"ResDensity","N_TraitValue"
5,1.28266434614774e-06
5.09,1.3057523043784e-06
5.18,1.32884026260906e-06
5.27,1.35192822083972e-06
5.36,1.37501617907038e-06
5.45,1.39810413730104e-06
5.54,1.42119209553169e-06
5.63,1.44428005376235e-06
5.72,1.46736801199301e-06
5.81,1.49045597022367e-06
5.9,1.51354392845433e-06
5.99,1.53663188668499e-06
6.08,1.55971984491565e-06
6.17,1.58280780314631e-06
6.26,1.60589576137697e-06
6.35,1.62898371960763e-06
6.44,1.65207167783829e-06
6.53,1.67515963606895e-06
6.62,1.69824759429961e-06
6.71,1.72133555253027e-06
6.8,1.74442351076092e-06
6.89,1.76751146899158e-06
6.98,1.79059942722224e-06
7.07,1.8136873854529e-06
7.16,1.83677534368356e-06
7.25,1.85986330191422e-06
7.34,1.88295126014488e-06
7.43,1.90603921837554e-06
7.52,1.9291271766062e-06
7.61,1.95221513483686e-06
7.7,1.97530309306752e-06
7.79,1.99839105129818e-06
7.88,2.02147900952884e-06
7.97,2.0445669677595e-06
8.06,2.06765492599016e-06
8.15,2.09074288422081e-06
8.24,2.11383084245147e-06
8.33,2.13691880068213e-06
8.42,2.16000675891279e-06
8.51,2.18309471714345e-06
8.6,2.20618267537411e-06
8.69,2.22927063360477e-06
8.78,2.25235859183543e-06
8.87,2.27544655006609e-06
8.96,2.29853450829675e-06
9.05,2.32162246652741e-06
9.14,2.34471042475807e-06
9.23,2.36779838298873e-06
9.32,2.39088634121939e-06
9.41,2.41397429945004e-06
9.5,2.4370622576807e-06
9.59,2.46015021591136e-06
9.68,2.48323817414202e-06
9.77,2.50632613237268e-06
9.86,2.52941409060334e-06
9.95,2.552502048834e-06
10.04,2.57559000706466e-06
10.13,2.59867796529532e-06
10.22,2.62176592352598e-06
10.31,2.64485388175664e-06
10.4,2.6679418399873e-06
10.49,2.69102979821796e-06
10.58,2.71411775644862e-06
10.67,2.73720571467928e-06
10.76,2.76029367290993e-06
10.85,2.78338163114059e-06
10.94,2.80646958937125e-06
11.03,2.82955754760191e-06
11.12,2.85264550583257e-06
11.21,2.87573346406323e-06
11.3,2.89882142229389e-06
11.39,2.92190938052455e-06
11.48,2.94499733875521e-06
11.57,2.96808529698587e-06
11.66,2.99117325521653e-06
11.75,3.01426121344719e-06
11.84,3.03734917167785e-06
11.93,3.0604371299085e-06
12.02,3.08352508813916e-06
12.11,3.10661304636982e-06
12.2,3.12970100460048e-06
12.29,3.15278896283114e-06
12.38,3.1758769210618e-06
12.47,3.19896487929246e-06
12.56,3.22205283752312e-06
12.65,3.24514079575378e-06
12.74,3.26822875398444e-06
12.83,3.2913167122151e-06
12.92,3.31440467044576e-06
13.01,3.33749262867642e-06
13.1,3.36058058690708e-06
13.19,3.38366854513774e-06
13.28,3.40675650336839e-06
13.37,3.42984446159905e-06
13.46,3.45293241982971e-06
13.55,3.47602037806037e-06
13.64,3.49910833629103e-06
13.73,3.52219629452169e-06
13.82,3.54528425275235e-06
13.91,3.56837221098301e-06
14,3.59146016921367e-06
14.09,3.61454812744433e-06
14.18,3.63763608567499e-06
14.27,3.66072404390565e-06
14.36,3.68381200213631e-06
14.45,3.70689996036697e-06
14.54,3.72998791859762e-06
14.63,3.75307587682828e-06
14.72,3.77616383505894e-06
14.81,3.7992517932896e-06
14.9,3.82233975152026e-06
14.99,3.84542770975092e-06
15.08,3.86851566798158e-06
15.17,3.89160362621224e-06
15.26,3.9146915844429e-06
15.35,3.93777954267356e-06
15.44,3.96086750090422e-06
15.53,3.98395545913488e-06
15.62,4.00704341736554e-06
15.71,4.0301313755962e-06
15.8,4.05321933382686e-06
15.89,4.07630729205751e-06
15.98,4.09939525028817e-06
16.07,4.12248320851883e-06
16.16,4.14557116674949e-06
16.25,4.16865912498015e-06
16.34,4.19174708321081e-06
16.43,4.21483504144147e-06
16.52,4.23792299967213e-06
16.61,4.26101095790279e-06
16.7,4.28409891613345e-06
16.79,4.30718687436411e-06
16.88,4.33027483259477e-06
16.97,4.35336279082543e-06
17.06,4.37645074905608e-06
17.15,4.39953870728674e-06
17.24,4.4226266655174e-06
17.33,4.44571462374806e-06
17.42,4.46880258197872e-06
17.51,4.49189054020938e-06
17.6,4.51497849844004e-06
17.69,4.5380664566707e-06
