"ID","Rsq_lm2","Rsq_lm3","Rsq_HollT2"
39835,0.928422260299948,0.928422260299948,0.903420731136688
39836,0.999325094081236,0.999823690523522,0.99981047796959
39837,0.994797420774145,0.995479756517884,0.994907377516963
39838,0.999441156637959,0.999449040535411,0.99944423463229
39839,0.995162936628806,0.997173461551354,0.986478373348897
39840,0.404504426096685,0.415608512089781,0.375897681290193
39841,0.642161149693298,0.71007211250198,0.688026902049438
39842,0.551630008908555,0.553125746573578,0.463510013474525
39843,0.727759879384102,0.743984571370593,0.750230991769375
39844,0.64198540980486,0.672815837418294,0.662305817724563
39845,0.630121870510199,0.633835372995546,0.640795231999858
39846,0.465112223274543,0.465504602396588,0.389565203004064
39847,0.636420966263285,0.694378657995248,0.649467642856862
39848,0.614135903768685,0.617889720175673,0.596346756737682
39849,0.640023751075614,0.641573487743382,0.548020638026732
39850,0.691115964360625,0.790642814724667,0.636005348863721
39851,0.873391087065785,0.936617732608664,0.791582506318757
39852,0.985650681021831,0.997469234457356,0.987096007966625
39853,0.90364589048863,0.947980698646269,0.828368529200515
39854,0.938776666164764,0.951831098214087,0.935032206503611
39855,0.873795366972452,0.894899499749229,0.839546906605787
39856,0.659452038512725,0.992022819538421,0.680016667784391
39857,0.972195639942824,0.996064997948624,0.972114736307968
39858,0.85745029729685,0.891201110110917,0.854355276281865
39859,0.876952019837994,0.906158670642236,0.814908384007226
39860,0.913336912586935,0.993661487996736,0.878364759959772
39861,0.819823715556275,0.882940319968983,0.659222350697941
39862,0.922161493179425,0.986472990341665,0.924789965837124
39863,0.986123415308362,0.994774494631076,0.957149233119968
39864,0.968005098679979,0.998210557287952,0.965552662170425
39865,0.98959788702586,0.994172593185856,0.97513125108834
39866,0.978876083212691,0.981845346928544,0.97026765322365
39867,0.981042733928714,0.999790957374129,0.981647250762929
39868,0.952360202565495,0.953409116014611,0.931226326885401
39869,0.909934165578968,0.962196913297534,0.93032056946161
39870,0.994332393534808,0.994380534720809,0.989836826982314
39871,0.909942150205581,0.984511616301495,0.927437078616569
39873,0.955383568601287,0.965703859754967,0.935431096690195
39874,0.97034991051173,0.97150804707177,0.963965127370909
39875,0.771220578432584,0.914048244865147,0.833912225297194
39876,0.938659254353488,0.954088208807353,0.919186470239523
39877,0.977333781335384,0.986909807643669,0.961865278111949
39878,0.973383462625397,0.973515160670085,0.971415850173199
39879,0.952422143461701,0.965784465016101,0.979830762169861
39880,0.928533619071745,0.940823531212673,0.948579061673742
39881,0.974656105174192,0.984036073896909,0.982180922777099
39882,0.975444904918872,0.983468462920337,0.98398601959339
39883,0.972238191078946,0.975662846538894,0.947945546627012
39884,0.96100415871883,0.999670611462056,0.931291862363077
39885,0.454598938535683,0.756790442042371,0.549024203704679
39886,0.987213359384307,0.999184238909996,0.903863231421807
39887,0.970526707906777,0.970740387610976,0.964735897843429
39888,0.848471574387333,1,0.814840540740187
39889,0.989124265154519,1,0.982594426687457
39890,0.894049789081337,0.902759009503371,0.775871226130126
39891,0.74084697907091,0.935127429867627,0.837482248765277
39892,0.971917302184632,0.981766627537678,0.894633129908711
39893,0.912768809612813,0.918207846459869,0.828831180324167
39894,0.907782344157165,0.967436715829108,0.971890786829134
39895,0.983139262852468,0.990987946871181,0.98511791579722
39896,0.937717645560511,0.938651315257413,0.889251068681655
39897,0.812770344398857,0.824011153049469,0.794903888781896
39898,0.999219332523464,0.999302738655323,0.996288367501777
39899,0.993953177376248,0.994034638551373,0.976779987898452
39900,0.98398462926682,0.990978853509332,0.982560041719675
39901,0.987331265017025,0.989452931379019,0.889249988571898
39902,0.575182942577857,0.584449791248249,0.595596106635897
39903,0.082810218476971,0.106042261154361,0.11508641472631
39904,0.992942667484501,0.992956868015313,0.986051076502054
39905,0.974354702286345,0.975012695063205,0.972975707012047
39906,0.946794885113129,0.956926456001306,0.959533650187043
39907,0.827956929227421,0.855268546394449,0.796576585100261
39908,0.85185040501967,0.92054935064404,0.958034545013908
39909,0.976789216230042,0.990711683575177,0.985481921405841
39910,0.735517899996239,0.749967515097169,0.742631041068044
39911,0.635124841587457,0.639739696883712,0.587353543674268
39912,0.998512345892177,0.999958792730846,0.98586054603337
39913,0.999982772819565,1,0.985635770221841
39914,0.501143503626103,0.501361078421714,0.650070858256731
39915,0.599164098145091,0.653328815384131,0.717839500606515
39916,0.806919658759063,0.983214054327776,0.922304134186832
39917,0.997608371751122,0.998909072212792,0.995740761161616
39918,0.991549958666125,0.991646447836371,0.892048973085784
39919,0.999815350078076,0.999906281726332,0.999796198098207
39920,0.998820303582496,0.999389834494375,0.99850562953171
39921,0.991705581022714,0.992246887557334,0.936362401284799
39922,0.964847211457997,0.965102425286695,0.963612610777415
39923,0.935386810801767,0.995878009001797,0.962805358899215
39924,0.951121242575463,0.996438901456804,0.961608511219239
39925,0.821462776460264,0.834702089439779,0.80792055903808
39926,0.998784563067777,0.99931999899769,0.975059989327736
39927,0.969087468649005,0.969829081493248,0.916219999594682
39928,0.969076662284725,0.981157419678201,0.850835639782551
39929,0.950669807547926,0.981594184539838,0.897560287330966
39931,0.962567718236401,0.9832162794702,0.965281103349729
39932,0.59866782609179,0.6421385995532,0.536672824100707
39933,0.606460883882586,0.727635589151207,0.685703169623615
39934,0.824949818345173,0.92563622276024,0.900973895456906
39935,0.970773583071373,0.988583449669307,0.975737267939545
39936,0.742416332692293,0.898933501164168,0.74452344047762
39937,0.98840281871717,0.999464768612519,0.995701440112851
39938,0.986759620471764,0.9995826409254,0.999354837840875
39939,0.760163646243123,0.760822764409438,0.744303588897927
39940,0.915684165780767,0.930442858895311,0.940300074296248
39941,0.894519283409039,0.914381275550472,0.778345688483039
39942,0.682433536272283,0.688248152185157,0.653617880857685
39943,0.966991476650898,0.967729697657192,0.946195979936165
39944,0.831515836114983,0.945371642520052,0.920434291702482
39945,0.909412865765961,0.964785904204826,0.755123294187379
39946,0.994877862790409,0.998214690260887,0.947537588156419
39947,0.90755218938039,0.90809065124464,0.903018132803124
39948,0.848420910909942,0.861233578683913,0.426643657455941
39949,0.828395925889435,0.845925545885522,0.854017080589752
39950,0.895863714059943,0.909439804172816,0.201699180403499
39951,0.993198621426396,0.999790496364356,0.958445039868529
39952,0.994166688459831,0.999900670645911,0.754211649122611
39953,0.945994124662881,0.968861470822297,0.957845766607406
39954,0.989268680294608,0.991642033715715,0.986677113658285
39955,0.967251330295341,0.974252002964271,0.961529026401518
39956,0.90674168303639,0.960563582041052,0.853011909357446
39957,0.916594221210131,0.92072421055616,0.904449729661237
39958,0.976227935108367,0.993395848776205,0.95711660287311
39959,0.931967753811752,0.934346631036694,0.931855899134963
39960,0.983228691352704,0.997717739176658,0.937188706798327
39961,0.93354408877366,0.951481155090606,0.86891220859538
39962,0.97427875215766,0.987651687088945,0.964122425653634
39963,0.586938232573484,0.679276600500638,0.767686274803278
39964,0.827980816162376,0.945860607898379,0.797424207144979
39965,0.72399882267275,0.739984089297587,0.678367885765478
39966,0.358432971366534,0.39832548889567,0.566817961011423
39967,0.853891825436632,1,0.946715969553763
39968,0.900948090906039,0.977171887288937,0.86512691679325
39969,0.883628597995759,0.999373202282972,0.987473907813619
39970,0.900953243419513,0.970509739637778,0.89976553350525
39971,0.785388027160583,0.986382936285093,0.887898744936299
39972,0.814684792600572,0.822515149499174,0.838854320793266
39973,0.806334161783728,0.961365342410147,0.861929753608208
39974,0.92346519077461,0.925176177789116,0.69257856732046
39975,0.92717967585457,0.989774782334162,0.915204886085501
39976,0.632838611500185,0.925437536489189,0.751282519836373
39977,0.992746423216265,0.995100463274571,0.989546574009593
39978,0.941880604097109,0.941984338663158,0.896902793191119
39979,0.978935574485402,0.983304712459415,0.956854438995126
39980,0.944565674238652,0.949297880020113,0.894342446252601
39981,0.850606355770833,0.867607059079754,0.805395230071793
39982,0.845336092616488,0.850884348285683,0.858882866195597
39983,0.0588469442290574,0.0771341082447706,0.0516793377236118
39984,0.980909341014094,0.995986546082335,0.971744390231886
39985,0.999198140238448,1,0.99864114401556
39986,0.956767963035969,1,0.953056081829811
39987,0.515344956514626,0.644627944407551,0.400636596017606
39988,0.587139219834316,0.605291705127676,0.562296377269575
39989,0.916540649701126,0.9231964029812,0.862748985053688
39990,0.778996978310725,0.901570182819316,0.682548384024202
39991,0.86071199648196,0.902026207618081,0.912414184420803
39992,0.880259234374049,0.905419082728463,0.883453878994874
39993,0.988739313173414,0.998068507484611,0.955109088164011
39994,0.750163994741031,0.756148878311302,0.689724803617323
39995,0.7873021149334,0.788180308115,0.777646505316718
39996,0.877611736754838,0.887688639226311,0.853850450154664
39997,0.878554917512061,0.888017923865114,0.692638024020022
39998,0.892686849525662,0.992530295483412,0.963757291114826
39999,0.806385549044837,0.971247177066735,0.895691075177233
40000,0.962539368398937,0.969710495384208,0.908728423381318
40001,0.994323636210271,0.999937374249895,0.851250582746295
40002,0.835126618488205,0.920807098025631,0.608125371523673
40003,0.931780068784493,0.947405098563316,0.892103261753477
40004,0.788770715239645,0.822693127089029,0.729480075135575
40005,0.454761449740864,0.755875217548598,0.411253790233214
40006,0.758917551338106,0.824649545577267,0.835098259559136
40007,0.789228161803484,0.812453971948416,0.627882220181457
40008,0.890866502377187,0.891238506937903,0.837454837200512
40009,0.709469634496921,0.828252017449669,0.71904935101494
40010,0.996518129900793,0.99936519044774,0.993266976360804
40011,0.954132117342471,0.999422110815764,0.80539855060832
40012,0.997695313962824,1,0.67693778127429
40013,0.528898081765983,0.692091062103107,0.845548371672834
40014,0.85034904143446,0.915162702627191,0.819221758604611
40015,0.902033971431733,1,0.84377096417771
40016,0.900748373421376,1,0.974592040059979
40017,0.781737444629142,0.784758572370805,0.710627703234455
40018,0.616396440437975,0.639604492902389,0.608424445690011
40019,0.80770032576926,0.826482564157148,0.761269343332624
40020,0.500285326249552,0.53600444690389,0.503085757506135
