"","ID","DataType","ORIGINAL_TraitID","ORIGINAL_TraitDefinition","TraitValue","TraitUnit","N_TraitValue","ConTaxa","ResTaxa","ConTaxaStage","ResTaxaStage","Con_ForagingMovement","Con_RESDetectionDimensionality","Res_ForagingMovement","Res_CONDetectionDimensionality","CON_MASS_value","RES_MASS_value","ResArenaSize_SI_UNIT","ResDensity_SI_VALUE","ResDensityUnit","ResDensity","ResArenaSize_SI_VALUE","ConTemp","ResTemp","ResReplaceRate","ResReplaceUnit","ResReplace","TraitSIValue","TraitSIUnit","N_TraitID","N_TraitConversion","N_CONVERTED","N_TraitUnit","Original_ErrorValue","Original_ErrorValueUnit","Replicates","ConTaxon","ConStage","ConCommon","Con_MovementDimensionality","Con_Thermy","Res_MovementDimensionality","ResTaxon","ResStage","ResCommon","Res_Thermy","Habitat","LabField","ObservationtimeSI","ObservationtimeSIUnits","ConStarvationTimeSI","ConStarvationTimeSIUnits","ConArenaSiz_VALUE","ConArenaSize_UNIT","ConDensity","ConDensityUnit","ConDensity_SI_VALUE","ConDensityConst","ConSizType","CON_ORIGINAL_value","CON_ORIGINAL_unit","Con_Siz_reference","ResSizType","RES_ORIGINAL_value","RES_ORIGINAL_unit","Res_Siz_reference","Citation","FigureTable"
"4451",40126,"new","Resource Consumption Rate","The number of resource consumed per number of consumers per time",0.5694,"individual / (1 individual * 24 hrs)",6.59e-06,"Neogobius melanostomus","Salvelinus namaycush","Neogobius melanostomus [Adult]","Salvelinus namaycush [egg]","active","surface","sessile","surface",0.001500147,4.77e-05,"square meter",62.5,"individuals per arena",5,0.08,11,11,NA,"","",NA,NA,NA,NA,NA,NA,NA,"",NA,"","","","","ectotherm","","","","","ectotherm","Freshwater","Lab",NA,"",NA,"",NA,"",NA,"","","","","","","","",NA,"","","Fitzsimons J. B. Williston G. Williston G. Bravener J. L. Jonas R. M. Claramunt J. E. Marsden et al. 2006. Laboratory estimates of salmonine egg predation by round gobies (Neogobius melanostomus) sculpins (Cottus cognatus and C-bairdi) and crayfish (Orconectes propinquus). Journal of Great Lakes Research 32:227-241.","Fig 3"
"4452",40126,"new","Resource Consumption Rate","The number of resource consumed per number of consumers per time",0.7193,"individual / (1 individual * 24 hrs)",8.33e-06,"Neogobius melanostomus","Salvelinus namaycush","Neogobius melanostomus [Adult]","Salvelinus namaycush [egg]","active","surface","sessile","surface",0.001500147,4.77e-05,"square meter",62.5,"individuals per arena",5,0.08,11,11,NA,"","",NA,NA,NA,NA,NA,NA,NA,"",NA,"","","","","ectotherm","","","","","ectotherm","Freshwater","Lab",NA,"",NA,"",NA,"",NA,"","","","","","","","",NA,"","","Fitzsimons J. B. Williston G. Williston G. Bravener J. L. Jonas R. M. Claramunt J. E. Marsden et al. 2006. Laboratory estimates of salmonine egg predation by round gobies (Neogobius melanostomus) sculpins (Cottus cognatus and C-bairdi) and crayfish (Orconectes propinquus). Journal of Great Lakes Research 32:227-241.","Fig 3"
"4453",40126,"new","Resource Consumption Rate","The number of resource consumed per number of consumers per time",0.5232,"individual / (1 individual * 24 hrs)",6.06e-06,"Neogobius melanostomus","Salvelinus namaycush","Neogobius melanostomus [Adult]","Salvelinus namaycush [egg]","active","surface","sessile","surface",0.001500147,4.77e-05,"square meter",62.5,"individuals per arena",5,0.08,11,11,NA,"","",NA,NA,NA,NA,NA,NA,NA,"",NA,"","","","","ectotherm","","","","","ectotherm","Freshwater","Lab",NA,"",NA,"",NA,"",NA,"","","","","","","","",NA,"","","Fitzsimons J. B. Williston G. Williston G. Bravener J. L. Jonas R. M. Claramunt J. E. Marsden et al. 2006. Laboratory estimates of salmonine egg predation by round gobies (Neogobius melanostomus) sculpins (Cottus cognatus and C-bairdi) and crayfish (Orconectes propinquus). Journal of Great Lakes Research 32:227-241.","Fig 3"
"4454",40126,"new","Resource Consumption Rate","The number of resource consumed per number of consumers per time",0.4657,"individual / (1 individual * 24 hrs)",5.39e-06,"Neogobius melanostomus","Salvelinus namaycush","Neogobius melanostomus [Adult]","Salvelinus namaycush [egg]","active","surface","sessile","surface",0.001500147,4.77e-05,"square meter",125,"individuals per arena",10,0.08,11,11,NA,"","",NA,NA,NA,NA,NA,NA,NA,"",NA,"","","","","ectotherm","","","","","ectotherm","Freshwater","Lab",NA,"",NA,"",NA,"",NA,"","","","","","","","",NA,"","","Fitzsimons J. B. Williston G. Williston G. Bravener J. L. Jonas R. M. Claramunt J. E. Marsden et al. 2006. Laboratory estimates of salmonine egg predation by round gobies (Neogobius melanostomus) sculpins (Cottus cognatus and C-bairdi) and crayfish (Orconectes propinquus). Journal of Great Lakes Research 32:227-241.","Fig 3"
"4455",40126,"new","Resource Consumption Rate","The number of resource consumed per number of consumers per time",0.4657,"individual / (1 individual * 24 hrs)",5.39e-06,"Neogobius melanostomus","Salvelinus namaycush","Neogobius melanostomus [Adult]","Salvelinus namaycush [egg]","active","surface","sessile","surface",0.001500147,4.77e-05,"square meter",125,"individuals per arena",10,0.08,11,11,NA,"","",NA,NA,NA,NA,NA,NA,NA,"",NA,"","","","","ectotherm","","","","","ectotherm","Freshwater","Lab",NA,"",NA,"",NA,"",NA,"","","","","","","","",NA,"","","Fitzsimons J. B. Williston G. Williston G. Bravener J. L. Jonas R. M. Claramunt J. E. Marsden et al. 2006. Laboratory estimates of salmonine egg predation by round gobies (Neogobius melanostomus) sculpins (Cottus cognatus and C-bairdi) and crayfish (Orconectes propinquus). Journal of Great Lakes Research 32:227-241.","Fig 3"
"4456",40126,"new","Resource Consumption Rate","The number of resource consumed per number of consumers per time",1.0076,"individual / (1 individual * 24 hrs)",1.17e-05,"Neogobius melanostomus","Salvelinus namaycush","Neogobius melanostomus [Adult]","Salvelinus namaycush [egg]","active","surface","sessile","surface",0.001500147,4.77e-05,"square meter",125,"individuals per arena",10,0.08,11,11,NA,"","",NA,NA,NA,NA,NA,NA,NA,"",NA,"","","","","ectotherm","","","","","ectotherm","Freshwater","Lab",NA,"",NA,"",NA,"",NA,"","","","","","","","",NA,"","","Fitzsimons J. B. Williston G. Williston G. Bravener J. L. Jonas R. M. Claramunt J. E. Marsden et al. 2006. Laboratory estimates of salmonine egg predation by round gobies (Neogobius melanostomus) sculpins (Cottus cognatus and C-bairdi) and crayfish (Orconectes propinquus). Journal of Great Lakes Research 32:227-241.","Fig 3"
"4457",40126,"new","Resource Consumption Rate","The number of resource consumed per number of consumers per time",1.0193,"individual / (1 individual * 24 hrs)",1.18e-05,"Neogobius melanostomus","Salvelinus namaycush","Neogobius melanostomus [Adult]","Salvelinus namaycush [egg]","active","surface","sessile","surface",0.001500147,4.77e-05,"square meter",312.5,"individuals per arena",25,0.08,11,11,NA,"","",NA,NA,NA,NA,NA,NA,NA,"",NA,"","","","","ectotherm","","","","","ectotherm","Freshwater","Lab",NA,"",NA,"",NA,"",NA,"","","","","","","","",NA,"","","Fitzsimons J. B. Williston G. Williston G. Bravener J. L. Jonas R. M. Claramunt J. E. Marsden et al. 2006. Laboratory estimates of salmonine egg predation by round gobies (Neogobius melanostomus) sculpins (Cottus cognatus and C-bairdi) and crayfish (Orconectes propinquus). Journal of Great Lakes Research 32:227-241.","Fig 3"
"4458",40126,"new","Resource Consumption Rate","The number of resource consumed per number of consumers per time",0.0393,"individual / (1 individual * 24 hrs)",4.55e-07,"Neogobius melanostomus","Salvelinus namaycush","Neogobius melanostomus [Adult]","Salvelinus namaycush [egg]","active","surface","sessile","surface",0.001500147,4.77e-05,"square meter",312.5,"individuals per arena",25,0.08,11,11,NA,"","",NA,NA,NA,NA,NA,NA,NA,"",NA,"","","","","ectotherm","","","","","ectotherm","Freshwater","Lab",NA,"",NA,"",NA,"",NA,"","","","","","","","",NA,"","","Fitzsimons J. B. Williston G. Williston G. Bravener J. L. Jonas R. M. Claramunt J. E. Marsden et al. 2006. Laboratory estimates of salmonine egg predation by round gobies (Neogobius melanostomus) sculpins (Cottus cognatus and C-bairdi) and crayfish (Orconectes propinquus). Journal of Great Lakes Research 32:227-241.","Fig 3"
"4459",40126,"new","Resource Consumption Rate","The number of resource consumed per number of consumers per time",0.0278,"individual / (1 individual * 24 hrs)",3.22e-07,"Neogobius melanostomus","Salvelinus namaycush","Neogobius melanostomus [Adult]","Salvelinus namaycush [egg]","active","surface","sessile","surface",0.001500147,4.77e-05,"square meter",312.5,"individuals per arena",25,0.08,11,11,NA,"","",NA,NA,NA,NA,NA,NA,NA,"",NA,"","","","","ectotherm","","","","","ectotherm","Freshwater","Lab",NA,"",NA,"",NA,"",NA,"","","","","","","","",NA,"","","Fitzsimons J. B. Williston G. Williston G. Bravener J. L. Jonas R. M. Claramunt J. E. Marsden et al. 2006. Laboratory estimates of salmonine egg predation by round gobies (Neogobius melanostomus) sculpins (Cottus cognatus and C-bairdi) and crayfish (Orconectes propinquus). Journal of Great Lakes Research 32:227-241.","Fig 3"
"4460",40126,"new","Resource Consumption Rate","The number of resource consumed per number of consumers per time",0.0281,"individual / (1 individual * 24 hrs)",3.25e-07,"Neogobius melanostomus","Salvelinus namaycush","Neogobius melanostomus [Adult]","Salvelinus namaycush [egg]","active","surface","sessile","surface",0.001500147,4.77e-05,"square meter",625,"individuals per arena",50,0.08,11,11,NA,"","",NA,NA,NA,NA,NA,NA,NA,"",NA,"","","","","ectotherm","","","","","ectotherm","Freshwater","Lab",NA,"",NA,"",NA,"",NA,"","","","","","","","",NA,"","","Fitzsimons J. B. Williston G. Williston G. Bravener J. L. Jonas R. M. Claramunt J. E. Marsden et al. 2006. Laboratory estimates of salmonine egg predation by round gobies (Neogobius melanostomus) sculpins (Cottus cognatus and C-bairdi) and crayfish (Orconectes propinquus). Journal of Great Lakes Research 32:227-241.","Fig 3"
"4461",40126,"new","Resource Consumption Rate","The number of resource consumed per number of consumers per time",0.1665,"individual / (1 individual * 24 hrs)",1.93e-06,"Neogobius melanostomus","Salvelinus namaycush","Neogobius melanostomus [Adult]","Salvelinus namaycush [egg]","active","surface","sessile","surface",0.001500147,4.77e-05,"square meter",625,"individuals per arena",50,0.08,11,11,NA,"","",NA,NA,NA,NA,NA,NA,NA,"",NA,"","","","","ectotherm","","","","","ectotherm","Freshwater","Lab",NA,"",NA,"",NA,"",NA,"","","","","","","","",NA,"","","Fitzsimons J. B. Williston G. Williston G. Bravener J. L. Jonas R. M. Claramunt J. E. Marsden et al. 2006. Laboratory estimates of salmonine egg predation by round gobies (Neogobius melanostomus) sculpins (Cottus cognatus and C-bairdi) and crayfish (Orconectes propinquus). Journal of Great Lakes Research 32:227-241.","Fig 3"
